feature,coefficient,odds_ratio,abs_coef,or_lower,or_upper
n_sym_tourists_in_window,12.73465386010491,339304.71946936945,12.73465386010491,1867.1679262212047,61658992.22957637
group_id_Pablo,0.18199575838996193,1.199609105595053,0.18199575838996193,0.005632939266733679,186.0150624909889
annual_mask_rate,-0.15899716366959832,0.852998778352068,0.15899716366959832,0.005880843169955141,194.2015274723946
group_id_Ntambara,0.1533258195207767,1.1657047264301388,0.1533258195207767,0.004693987052510278,155.00829204056004
season_wet_long,-0.14269992394629036,0.8670142000636352,0.14269992394629036,0.0055022218683542885,181.69841644230863
age_category_subadult,-0.11927069913247222,0.8875675044859458,0.11927069913247222,0.006125064851583986,202.26639542474985
age_category_adult_male,0.1188054602796249,1.1261508159121587,0.1188054602796249,0.005243923681411476,173.16870378070965
group_id_Susa,0.1137123716342786,1.1204298111376039,0.1137123716342786,0.005243012631703247,173.1386184273295
humidity_pct,0.10710984160011369,1.1130565076727792,0.10710984160011369,0.006197121828565797,204.64591390373312
group_id_Umubano,0.09360056682017134,1.098121032328845,0.09360056682017134,0.005109538600504732,168.730940822683
group_id_Hirwa,-0.07714629458314656,0.9257544108438353,0.07714629458314656,0.0054757239648517385,180.82338318835255
age_category_infant,-0.07417039609272275,0.9285134652943804,0.07417039609272275,0.005176195326578589,170.93212824525978
season_unknown,-0.07160146524496702,0.9309018186217247,0.07160146524496702,0.0048842161091188704,161.2901758275244
symptomatic_tourists,0.0664206450928142,1.068676156013078,0.0664206450928142,0.005211234206638923,172.08920790747612
age_category_silverback,-0.06120920932753372,0.9406264313664834,0.06120920932753372,0.005122681526239083,169.1649561805669
season_dry_short,-0.054462783208234666,0.9469937522712789,0.054462783208234666,0.004771112846496366,157.55519672187185
immunocompromised,-0.048383239949794946,0.9527685781185987,0.048383239949794946,0.005504993244978915,181.78993487906163
rainfall_mm,-0.048209490499369956,0.9529341355177662,0.048209490499369956,0.005094355734835161,168.22956106824523
total_tourists,0.02335187537495448,1.023626665200458,0.02335187537495448,0.006414783973646752,211.83371331038896
age_category_juvenile,-0.0049550048043749025,0.9950572509810831,0.0049550048043749025,0.006601357179684596,217.9948709115782
season_wet_short,0.00037604031542034936,1.000376111027443,0.00037604031542034936,0.006165639576749456,203.6062838346574
altitude_m,-0.00012751606185662078,0.9998724920679708,0.00012751606185662078,0.00604287607281111,199.55229713688394
